entry_date,exit_date,direction,entry,sl,tp1,tp2,tp3,exit_price,rr,exit_reason,tp1_hit,tp2_hit
2024-01-08,2024-02-05,bearish,0.66870,0.68200,0.64874,0.63544,0.61549,0.64874,0.25,SL_PARTIAL,True,False
2024-03-06,2024-04-11,bullish,0.66202,0.64704,0.68448,0.69946,0.72192,0.64704,-1.00,SL,False,False
2024-05-08,2024-05-16,bullish,0.66197,0.65633,0.67043,0.67608,0.68454,0.67043,0.25,SL_PARTIAL,True,False
2024-05-21,2024-07-02,bearish,0.66190,0.67241,0.64613,0.63562,0.61986,0.67241,-1.00,SL,False,False
2024-07-04,2024-07-22,bullish,0.67490,0.66267,0.69324,0.70547,0.72381,0.66267,-1.00,SL,False,False
2024-08-12,2024-09-24,bullish,0.66339,0.64657,0.68863,0.70545,0.73069,0.68863,0.25,SL_PARTIAL,True,False
2024-10-07,2024-10-29,bearish,0.67569,0.68939,0.65514,0.64145,0.62090,0.65514,0.25,SL_PARTIAL,True,False
2024-11-06,2024-11-13,bullish,0.66806,0.64569,0.70162,0.72399,0.75754,0.64569,-1.00,SL,False,False

# Summary:
# Asset: AUD_USD
# Period: 2024-01-01 - 2024-11-28
# Total Trades: 8
# Win Rate: 50.0%
# Net Return: -3.0%
# Avg R:R: -0.37
