entry_date,exit_date,direction,entry,sl,tp1,tp2,tp3,exit_price,rr,exit_reason,tp1_hit,tp2_hit
2024-01-11,2024-02-11,bearish,43451.80000,49454.09000,34448.36500,28446.07500,19442.64000,49454.09000,-1.00,SL,False,False
2024-03-18,2024-03-24,bearish,63813.00000,68429.17639,56888.73542,52272.55904,45348.29446,68429.17639,-1.00,SL,False,False
2024-04-02,2024-04-07,bearish,65722.30000,72739.26734,55196.84899,48179.88165,37654.43064,72739.26734,-1.00,SL,False,False
2024-04-16,2024-11-05,bearish,60867.20000,74683.37300,40142.94050,26326.76750,5602.50800,74683.37300,-1.00,SL,False,False
2024-11-06,2024-11-07,bearish,75961.40000,74932.06600,74417.39900,73388.06500,71844.06400,74932.06600,-1.00,SL,False,False

# Summary:
# Asset: BTC_USD
# Period: 2024-01-01 - 2024-11-28
# Total Trades: 5
# Win Rate: 0.0%
# Net Return: -5.0%
# Avg R:R: -1.00
