entry_date,exit_date,direction,entry,sl,tp1,tp2,tp3,exit_price,rr,exit_reason,tp1_hit,tp2_hit
2024-01-02,2024-03-07,bearish,1.26188,1.28892,1.22132,1.19428,1.15371,1.28892,-1.00,SL,False,False
2024-03-11,2024-03-18,bullish,1.28082,1.27100,1.29555,1.30537,1.32010,1.27100,-1.00,SL,False,False
2024-03-20,2024-04-01,bearish,1.26575,1.27149,1.25714,1.25141,1.24280,1.25714,0.25,SL_PARTIAL,True,False
2024-05-23,2024-07-14,bullish,1.27378,1.25731,1.29849,1.31497,1.33968,1.29849,0.25,SL_PARTIAL,True,False
2024-07-31,2024-08-12,bearish,1.27390,1.28416,1.25851,1.24826,1.23287,1.28416,-1.00,SL,False,False
2024-08-20,2024-11-11,bullish,1.30900,1.27737,1.35644,1.38807,1.43551,1.27737,-1.00,SL,False,False

# Summary:
# Asset: GBP_USD
# Period: 2024-01-01 - 2024-11-28
# Total Trades: 6
# Win Rate: 33.3%
# Net Return: -3.5%
# Avg R:R: -0.58
