entry_date,exit_date,direction,entry,sl,tp1,tp2,tp3,exit_price,rr,exit_reason,tp1_hit,tp2_hit
2024-09-12,2024-09-23,bearish,140.82200,144.66836,135.05246,131.20610,125.43656,144.66836,-1.00,SL,False,False
2024-10-31,2024-11-17,bullish,152.99900,150.65134,156.52050,158.86816,162.38966,156.52050,0.25,SL_PARTIAL,True,False
2024-11-25,2024-11-28,bearish,153.10900,153.30049,152.82176,152.63026,152.34302,152.34302,2.30,TP3_FULL,True,True

# Summary:
# Asset: USD_JPY
# Period: 2024-01-01 - 2024-11-28
# Total Trades: 3
# Win Rate: 66.7%
# Net Return: 1.5%
# Avg R:R: 0.52
