Trade#,Date,Symbol,Direction,Entry,Stop Loss,Take Profit,Lot Size,Risk ($),Result,Gross P/L,Fee,Net P/L,Balance,Confluence,Step
1,2025-03-02,EUR_USD,SHORT,1.04119,1.04342,1.03597,0.67,150.0,SL,-150.0,11.39,-161.39,9838.61,EMA_TREND_CONT,1
2,2025-03-02,GBP_USD,LONG,1.26021,1.25789,1.27153,0.63,147.58,TP,718.67,11.97,706.7,10545.31,HTF_BULLISH+EMA_PULLBACK,1
3,2025-03-02,USD_JPY,SHORT,150.806,151.29383,148.562,0.36,158.18,SL,-158.18,5.76,-163.94,10381.37,HTF_BEARISH+SUPPLY_ZONE+EMA_TREND+3_CANDLE_HOLD,1
4,2025-03-02,AUD_USD,SHORT,0.62195,0.6235,0.60873,1.0,155.72,SL,-155.72,19.0,-174.72,10206.65,EMA_TREND_CONT,1
5,2025-03-02,NZD_USD,SHORT,0.56032,0.56162,0.55158,1.18,153.1,SL,-153.1,25.96,-179.06,10027.59,EMA_TREND_CONT,1
6,2025-03-02,USD_CAD,LONG,1.44431,1.44161,1.47926,0.74,150.41,SL,-150.41,13.5,-163.92,9863.67,EMA_TREND_CONT,1
7,2025-03-02,EUR_GBP,SHORT,0.82617,0.82708,0.82411,1.3,147.96,SL,-147.96,33.48,-181.43,9682.24,EMA_TREND_CONT,1
8,2025-03-02,EUR_JPY,SHORT,157.02,157.65434,154.792,0.25,145.23,SL,-145.23,5.12,-150.36,9531.88,HTF_BEARISH+SUPPLY_ZONE+EMA_TREND+3_CANDLE_HOLD,1
9,2025-03-03,BTC_USD,SHORT,86065.67188,89849.54643,65188.03516,0.04,142.98,SL,-142.98,6.89,-149.86,9382.02,STRONG_CANDLE,1
10,2025-03-03,GBP_JPY,SHORT,189.229,189.93797,187.673,0.22,140.73,SL,-140.73,5.5,-146.23,9235.79,EMA_TREND_CONT,1
11,2025-03-03,GBP_USD,LONG,1.26602,1.26338,1.27153,0.52,138.54,TP,288.96,9.88,279.08,9514.86,HTF_BULLISH+DEMAND_ZONE+EMA_TREND+3_CANDLE_HOLD,1
12,2025-03-03,USD_JPY,SHORT,151.207,151.74683,148.562,0.29,142.72,TP,699.3,4.64,694.66,10209.52,HTF_BEARISH+SUPPLY_ZONE+EMA_TREND+3_CANDLE_HOLD,1
13,2025-03-03,AUD_USD,SHORT,0.62221,0.62373,0.60873,1.01,153.14,SL,-153.14,19.19,-172.33,10037.19,EMA_TREND_CONT,1
14,2025-03-03,NZD_USD,SHORT,0.56042,0.56169,0.55158,1.19,150.56,SL,-150.56,26.18,-176.74,9860.45,EMA_TREND_CONT,1
15,2025-03-03,USD_CAD,LONG,1.44345,1.44088,1.47926,0.77,147.91,SL,-147.91,14.05,-161.96,9698.49,EMA_TREND_CONT,1
16,2025-03-03,EUR_JPY,SHORT,158.049,158.79786,154.792,0.22,145.48,SL,-145.48,4.51,-149.99,9548.51,HTF_BEARISH+SUPPLY_ZONE+EMA_TREND+3_CANDLE_HOLD,1
17,2025-03-03,XAU_USD,SHORT,2874.225,2887.48397,2832.455,0.11,143.23,SL,-143.23,3.41,-146.64,9401.87,EMA_TREND_CONT,1
18,2025-03-03,EUR_CHF,SHORT,0.94232,0.94463,0.93328,0.56,141.03,SL,-141.03,13.16,-154.19,9247.68,HTF_BEARISH+SUPPLY_ZONE+EMA_TREND+3_CANDLE_HOLD,1
19,2025-03-04,EUR_USD,LONG,1.04771,1.04522,1.05287,0.56,138.72,TP,287.62,9.52,278.1,9525.78,HTF_BULLISH+DEMAND_ZONE+EMA_TREND+3_CANDLE_HOLD,1
20,2025-03-04,USD_CHF,SHORT,0.89657,0.89831,0.89118,0.75,142.89,TP,441.75,17.62,424.12,9949.91,EMA_TREND_CONT,1
21,2025-03-04,SPX500_USD,SHORT,5862.813,5897.74174,5769.401,0.43,149.25,TP,399.14,0.21,398.93,10348.84,EMA_TREND_CONT,1
22,2025-03-04,AUD_JPY,SHORT,92.64,93.11206,90.139,0.37,155.23,SL,-155.23,7.58,-162.82,10186.02,EMA_TREND_CONT,1
23,2025-03-04,AUD_NZD,SHORT,1.10602,1.10728,1.10086,1.22,152.79,SL,-152.79,32.94,-185.73,10000.29,EMA_TREND_CONT,1
24,2025-03-04,NZD_JPY,SHORT,83.758,84.14514,83.058,0.43,150.0,SL,-150.0,10.75,-160.75,9839.54,EMA_TREND_CONT,1
25,2025-03-04,CAD_JPY,SHORT,103.08,103.59114,101.66,0.32,147.59,SL,-147.59,8.0,-155.59,9683.94,EMA_TREND_CONT,1
26,2025-03-04,EUR_GBP,SHORT,0.82593,0.82685,0.82411,1.26,145.26,SL,-145.26,32.45,-177.7,9506.24,EMA_TREND_CONT,1
27,2025-03-04,US30_USD,SHORT,43168.7,43387.90571,41764.5,0.65,142.59,TP,913.43,1.3,912.13,10418.37,EMA_TREND_CONT,1
28,2025-03-04,GBP_USD,LONG,1.27404,1.27119,1.27986,0.55,156.28,SL,-156.28,10.45,-166.73,10251.65,HTF_BULLISH+DEMAND_ZONE+EMA_TREND+3_CANDLE_HOLD,1
29,2025-03-05,USD_CHF,SHORT,0.8908,0.89282,0.87583,0.69,153.77,TP,1139.61,16.21,1123.39,11375.04,EMA_TREND_CONT,1
30,2025-03-05,SPX500_USD,SHORT,5819.072,5862.35897,5732.471,0.39,170.63,TP,341.36,0.2,341.16,11716.2,EMA_TREND_CONT,1
31,2025-03-05,EUR_CAD,LONG,1.5333,1.52863,1.55081,0.5,175.74,TP,659.04,11.0,648.04,12364.24,EMA_TREND_CONT,1
32,2025-03-05,AUD_JPY,SHORT,93.64,94.17417,91.857,0.39,185.46,SL,-185.46,8.0,-193.46,12170.78,HTF_BEARISH+SUPPLY_ZONE+EMA_TREND+3_CANDLE_HOLD,1
33,2025-03-05,AUD_NZD,SHORT,1.10684,1.10823,1.10444,1.31,182.56,TP,315.02,35.37,279.65,12450.43,EMA_TREND_CONT,1
34,2025-03-05,NAS100_USD,SHORT,20499.319,20688.08226,20033.409,0.1,186.76,TP,460.96,0.1,460.86,12911.29,EMA_TREND_CONT,1
35,2025-03-05,GBP_AUD,LONG,2.04261,2.0372,2.0515,0.36,193.67,SL,-193.67,11.52,-205.19,12706.1,HTF_BULLISH+DEMAND_ZONE+EMA_TREND+3_CANDLE_HOLD,1
36,2025-03-05,CAD_JPY,SHORT,103.864,104.45686,102.198,0.36,190.59,TP,535.58,9.0,526.58,13232.68,HTF_BEARISH+SUPPLY_ZONE+EMA_TREND+3_CANDLE_HOLD,1
37,2025-03-05,US30_USD,SHORT,42836.0,43077.75429,41764.5,0.82,198.49,SL,-198.49,1.64,-200.13,13032.55,EMA_TREND_CONT,1
