trade_id,symbol,direction,entry_date,entry_price,sl_price,tp1_price,tp1_date,tp1_hit,tp2_price,tp2_date,tp2_hit,tp3_price,tp3_date,tp3_hit,exit_price,exit_date,exit_reason,pnl_r,pnl_usd
1,EUR_USD,bullish,2024-01-07,1.09506,1.08492,1.11026,,No,1.11533,,No,1.12547,,No,1.08492,2024-01-16,SL,-1.0,-1000.0
2,EUR_USD,bullish,2024-01-11,1.09508,1.08498,1.11024,,No,1.11529,,No,1.12539,,No,1.08498,2024-01-16,SL,-1.0,-1000.0
3,EUR_USD,bullish,2024-01-17,1.08763,1.08185,1.0963,,No,1.09919,,No,1.10497,,No,1.08185,2024-01-25,SL,-1.0,-1000.0
4,EUR_USD,bullish,2024-01-23,1.08842,1.07968,1.10153,,No,1.1059,,No,1.11464,,No,1.07968,2024-01-28,SL,-1.0,-1000.0
5,EUR_USD,bearish,2024-02-11,1.07716,1.08319,1.06811,,No,1.0651,,No,1.05907,,No,1.08319,2024-02-19,SL,-1.0,-1000.0
6,EUR_USD,bearish,2024-02-22,1.08206,1.09087,1.06884,,No,1.06444,,No,1.05563,,No,1.09087,2024-03-05,SL,-1.0,-1000.0
7,EUR_USD,bearish,2024-02-28,1.08048,1.09098,1.06473,,No,1.05948,,No,1.04898,,No,1.09098,2024-03-05,SL,-1.0,-1000.0
8,EUR_USD,bearish,2024-03-25,1.08312,1.09646,1.10529,2024-03-26,Yes,1.1176,2024-03-26,Yes,1.12676,2024-03-26,Yes,1.12676,2024-03-26,TP3,1.95,1950.0
9,EUR_USD,bullish,2024-04-03,1.08374,1.07027,1.06603,2024-04-04,Yes,1.05499,2024-04-04,Yes,1.04677,2024-04-04,Yes,1.04677,2024-04-04,TP3,1.95,1950.0
10,EUR_USD,bullish,2024-04-18,1.06564,1.05755,1.05061,2024-04-21,Yes,1.03426,2024-04-21,Yes,1.02209,2024-04-21,Yes,1.02209,2024-04-21,TP3,1.95,1950.0
11,EUR_USD,bearish,2024-05-06,1.07548,1.08363,1.06325,,No,1.05918,,No,1.05103,,No,1.08363,2024-05-14,SL,-1.0,-1000.0
12,EUR_USD,bullish,2024-05-12,1.07899,1.07026,1.05301,2024-05-13,Yes,1.0408,2024-05-13,Yes,1.03171,2024-05-13,Yes,1.03171,2024-05-13,TP3,1.95,1950.0
13,EUR_USD,bearish,2024-06-03,1.08792,1.09356,1.09853,2024-06-04,Yes,1.11046,2024-06-04,Yes,1.11934,2024-06-04,Yes,1.11934,2024-06-04,TP3,1.95,1950.0
14,EUR_USD,bullish,2024-06-10,1.07406,1.06969,1.08062,2024-06-11,Yes,1.08281,2024-06-11,Yes,1.08718,,No,1.08062,2024-06-12,trailing_SL,1.65,1650.0
15,EUR_USD,bearish,2024-06-24,1.07143,1.07868,1.06055,,No,1.05693,,No,1.04968,,No,1.07868,2024-07-02,SL,-1.0,-1000.0
16,EUR_USD,bearish,2024-06-30,1.07401,1.08002,1.06499,,No,1.06198,,No,1.05597,,No,1.08002,2024-07-02,SL,-1.0,-1000.0
17,EUR_USD,bearish,2024-07-04,1.08384,1.08623,1.08026,,No,1.07907,,No,1.07668,,No,1.08623,2024-07-10,SL,-1.0,-1000.0
18,EUR_USD,bearish,2024-07-29,1.0815,1.09144,1.10187,2024-07-30,Yes,1.11401,2024-07-30,Yes,1.12304,2024-07-30,Yes,1.12304,2024-07-30,TP3,1.95,1950.0
19,EUR_USD,bearish,2024-08-15,1.1028,1.10727,1.11149,,No,1.1231,,No,1.13174,,No,1.10727,2024-08-18,SL,-1.0,-1000.0
20,EUR_USD,bearish,2024-08-22,1.11928,1.12249,1.13068,2024-08-25,Yes,1.14889,2024-08-25,Yes,1.16244,2024-08-25,Yes,1.16244,2024-08-25,TP3,1.95,1950.0
21,EUR_USD,bearish,2024-08-29,1.1047,1.12287,1.13078,2024-09-01,Yes,1.14902,2024-09-01,Yes,1.1626,2024-09-01,Yes,1.1626,2024-09-01,TP3,1.95,1950.0
22,EUR_USD,bearish,2024-09-09,1.10194,1.11794,1.13078,2024-09-10,Yes,1.14902,2024-09-10,Yes,1.1626,2024-09-10,Yes,1.1626,2024-09-10,TP3,1.95,1950.0
23,EUR_USD,bearish,2024-09-26,1.1164,1.12408,1.12751,2024-09-29,Yes,1.13797,2024-09-29,Yes,1.14576,2024-09-29,Yes,1.14576,2024-09-29,TP3,1.95,1950.0
24,EUR_USD,bullish,2024-10-27,1.08119,1.0742,1.06479,2024-10-28,Yes,1.04532,2024-10-28,Yes,1.03082,2024-10-28,Yes,1.03082,2024-10-28,TP3,1.95,1950.0
25,EUR_USD,bearish,2024-11-03,1.08769,1.09371,1.07867,,No,1.07566,,No,1.06964,,No,1.09371,2024-11-05,SL,-1.0,-1000.0
26,EUR_USD,bullish,2024-11-14,1.054,1.04592,1.03605,2024-11-17,Yes,1.01269,2024-11-17,Yes,0.9953,2024-11-17,Yes,0.9953,2024-11-17,TP3,1.95,1950.0
27,EUR_USD,bullish,2024-11-24,1.04966,1.02878,1.01805,2024-11-25,Yes,0.99202,2024-11-25,Yes,0.97264,2024-11-25,Yes,0.97264,2024-11-25,TP3,1.95,1950.0
28,EUR_USD,bullish,2024-12-02,1.05097,1.0388,1.01805,2024-12-03,Yes,0.99202,2024-12-03,Yes,0.97264,2024-12-03,Yes,0.97264,2024-12-03,TP3,1.95,1950.0
