Date,Price
2025-01-01,1.0351
2025-01-02,1.0266
2025-01-03,1.0312
2025-01-06,1.0383
2025-01-07,1.0344
2025-01-08,1.0317
2025-01-09,1.0296
2025-01-10,1.0262
2025-01-13,1.027
2025-01-14,1.0304
2025-01-15,1.0295
2025-01-16,1.0301
2025-01-17,1.0303
2025-01-20,1.0423
2025-01-21,1.0412
2025-01-22,1.0408
2025-01-23,1.0415
2025-01-24,1.0503
2025-01-27,1.0444
2025-01-28,1.0429
2025-01-29,1.0427
2025-01-30,1.0397
2025-01-31,1.037
2025-02-03,1.0326
2025-02-04,1.0372
2025-02-05,1.0403
2025-02-06,1.0385
2025-02-07,1.0332
2025-02-10,1.0301
2025-02-11,1.0365
2025-02-12,1.0389
2025-02-13,1.046
2025-02-14,1.0497
2025-02-17,1.0485
2025-02-18,1.0449
2025-02-19,1.0421
2025-02-20,1.0502
2025-02-21,1.0465
2025-02-24,1.0461
2025-02-25,1.0521
2025-02-26,1.049
2025-02-27,1.0394
2025-02-28,1.0378
2025-03-03,1.0491
2025-03-04,1.0624
2025-03-05,1.0794
2025-03-06,1.079
2025-03-07,1.0836
2025-03-10,1.0842
2025-03-11,1.0915
2025-03-12,1.0884
2025-03-13,1.0853
2025-03-14,1.0922
2025-03-17,1.092
2025-03-18,1.0939
2025-03-19,1.091
2025-03-20,1.0857
2025-03-21,1.0876
2025-03-24,1.0802
2025-03-25,1.0786
2025-03-26,1.0743
2025-03-27,1.0802
2025-03-28,1.0876
2025-03-31,1.0819
2025-04-01,1.0798
2025-04-02,1.0837
2025-04-03,1.1065
2025-04-04,1.096
2025-04-07,1.0917
2025-04-08,1.0969
2025-04-09,1.0956
2025-04-10,1.1219
2025-04-11,1.1351
2025-04-14,1.1353
2025-04-15,1.1294
2025-04-16,1.1398
2025-04-17,1.1372
2025-04-18,1.1372
2025-04-21,1.152
2025-04-22,1.134
2025-04-23,1.1335
2025-04-24,1.1387
2025-04-25,1.1405
2025-04-28,1.1413
2025-04-29,1.1395
2025-04-30,1.1327
